SMILES,No.,Smiles,activity10,activity20,activity40,activity60,activity80,activity100
CC(=O)NCCc1ccccc1-c1ccc(C2CNCCC23OCc2cc(F)c(F)cc23)c(C)c1,A1014,CC(=O)NCCc1ccccc1c1ccc(c(c1)C)[C@H]1CNCC[C@@]21OCc1c2cc(F)c(c1)F,1.0,1.0,1.0,1.0,1.0,1.0
CC1CCCN1CCc1ccc2nc(-c3cnc(-c4cc(Cl)nc(Cl)c4)s3)ccc2c1,A1015,CC1CCCN1CCc1ccc2c(c1)ccc(n2)c1cnc(s1)c1cc(Cl)nc(c1)Cl,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc2cc3c(cc2o1)CCN(CCCCSc1nnc(-c2ocnc2C)n1C)CC3,A1016,Cc1nc2c(o1)cc1c(c2)CCN(CC1)CCCCSc1nnc(n1C)c1ocnc1C,1.0,1.0,1.0,1.0,1.0,1.0
CCC(CO)NS(=O)(=O)c1ccc(-c2ccc(CCN3CCCC3C)cc2)cc1,A1017,CCC(NS(=O)(=O)c1ccc(cc1)c1ccc(cc1)CCN1CCCC1C)CO,1.0,1.0,1.0,1.0,1.0,1.0
CCc1nn(CCOCC(F)(F)F)c2c(Nc3ccncn3)nc(N3CCNCC3)nc12,A1018,CCc1nn(c2c1nc(nc2Nc1ccncn1)N1CCNCC1)CCOCC(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
CCCNCc1ccc(CCn2ccc(OCc3ccc(F)cc3)cc2=O)nc1,A1019,CCCNCc1ccc(nc1)CCn1ccc(cc1=O)OCc1ccc(cc1)F,1.0,1.0,1.0,1.0,1.0,1.0
N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CCC(NC(=O)Cc3cncn3C2)C1=O,A102,N#Cc1ccc2cc1Oc1ccc3c(c1)c(ccc3)N1CC[C@H](C1=O)NC(=O)Cc1n(C2)cnc1,1.0,1.0,1.0,1.0,1.0,1.0
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,A1020,Clc1ccc2c(c1)C(=Nc1c(O2)cccc1)N1CCNCC1,1.0,1.0,1.0,1.0,1.0,1.0
CN(C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(Cl)cc3)nc1)C2,A1021,CN(C)Cc4ccc3C[C@@H](N(C)C(=O)c2ccc(c1ccc(Cl)cc1)nc2)CCc3c4,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc(N2CCOCC2)cc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,A1022,COc1ccc(cc1Nc1ncc(c(n1)c1cnc2n1cccc2)Cl)N1CCOCC1,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,A1023,COc1ccc2c(c1)[C@@]13CCCC[C@@H]3[C@H](C2)N(CC1)C,1.0,1.0,1.0,1.0,1.0,1.0
Nc1cc2c(ccc(=O)n2-c2c(F)cccc2F)c(-c2ccc(F)cc2F)n1,A1024,Fc1ccc(c(c1)F)c1nc(N)cc2c1ccc(=O)n2c1c(F)cccc1F,1.0,1.0,1.0,1.0,1.0,1.0
c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCNCC4)N3)n2)cc1,A1025,N1CCC(CC1)C1NC(Cc2c1[nH]c1c2cccc1)c1[nH]cc(n1)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
O=C(O)CCNC(=O)c1ccc(Cn2nc(-c3cc(Cl)cc(Cl)c3)cc2-c2ccc(OC(F)(F)F)cc2)cc1,A1026,OC(=O)CCNC(=O)c1ccc(cc1)Cn1nc(cc1c1ccc(cc1)OC(F)(F)F)c1cc(Cl)cc(c1)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CCCCCCCN(CC)CC#CCc1ccc(C)cc1,A1027,CCCCCCCN(CC#CCc1ccc(cc1)C)CC,1.0,1.0,1.0,1.0,1.0,1.0
CCN(CC)C(=O)c1ccc(C2CC3(CCNCC3)Oc3ccccc32)cc1,A1028,CCN(C(=O)c1ccc(cc1)[C@@H]1CC2(CCNCC2)Oc2c1cccc2)CC,1.0,1.0,1.0,1.0,1.0,1.0
CC1CN(C(=O)C2CN(c3cccnc3)CC2c2ccc(F)cc2F)CC(C)C1(O)c1ccccc1,A1029,Fc1cc(F)c(cc1)[C@H]2CN(c3cccnc3)C[C@@H]2C(=O)N(C[C@H]4C)C[C@H](C)[C@@]4(O)c5ccccc5,1.0,1.0,1.0,1.0,1.0,1.0
N#Cc1cccc(CN(c2cccc3[nH]ccc23)C2CCNCC2)c1,A103,N#Cc1cccc(c1)CN(c1cccc2c1cc[nH]2)C1CCNCC1,1.0,1.0,1.0,1.0,1.0,1.0
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CC(C)(C)NC(C)(C)C1,A1030,CNC(=O)c1c(NCC2CCC3(CC2)CCC3)nc(nc1OC1CC(C)(C)NC(C1)(C)C)C#N,1.0,1.0,1.0,1.0,1.0,1.0
CCN(C(=O)c1ccccc1Oc1ccccc1)C1CCNC1,A1032,CCN(C(=O)c1ccccc1Oc1ccccc1)C1CNCC1,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(N3CCN(CCc4c(Cl)ccc5c4ccc(=O)n5C)CC3)cccc2n1,A1034,c1cc(C)nc(c12)cccc2N(CC3)CCN3CCc(c(Cl)cc4)c(c45)ccc(=O)n5C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5C(C)C)CC3)cccc2n1,A1035,c1cc(C)nc(c12)cccc2N(CC3)CCN3CCc(ccc4)c(c45)OCC(=O)N5C(C)C,1.0,1.0,1.0,1.0,1.0,1.0
CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,A1037,CC(O)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)c1nc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)C(C)C2)no1,A104,N#Cc1cnccc1COc1cnc(nc1)N1CCN(CC1C)c1noc(n1)C(C)C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6c(cc5CC4)N(C)C(=O)CO6)n3C)cccc2n1,A1042,Cc6ccc5c(c4nnc(SCCCN3CCc2cc1OCC(=O)N(C)c1cc2CC3)n4C)cccc5n6,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(N7CCCCC7)oc6cc5CC4)n3C)cccc2n1,A1043,Cc7ccc6c(c5nnc(SCCCN4CCc3cc2nc(N1CCCCC1)oc2cc3CC4)n5C)cccc6n7,1.0,1.0,1.0,1.0,1.0,1.0
CCCN(CCC)CCc1cccc2c1CC(=O)N2,A1046,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,1.0,1.0,1.0,1.0,1.0,1.0
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,A1047,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,1.0,1.0,1.0,1.0,1.0,1.0
CC1(C)CC(CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1,A1048,[H][C@@]3(CN2CCC(F)(CNC(=O)c1cc(Cl)cc(Cl)c1)CC2)CCOC(C)(C)C3,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)oc6c(C)c5CC4)n3C)cccc2n1,A1049,Cc1ccc2c(n1)cccc2c1nnc(n1C)SCCCN1CCc2c(CC1)c(C)c1c(c2)nc(o1)C,1.0,1.0,1.0,1.0,1.0,1.0
c1ccc(CN(c2cccc3sccc23)C2CCNCC2)cc1,A105,N1CCC(CC1)N(c1cccc2c1ccs2)Cc1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
Cn1c(SCCCN2CCC3CC3(c3ccc(C(F)(F)F)cc3)CC2)nnc1-c1ccnnc1,A1050,Cn1c(SCCCN2CC[C@@H]3[C@](CC2)(C3)c2ccc(cc2)C(F)(F)F)nnc1c1ccnnc1,1.0,1.0,1.0,1.0,1.0,1.0
Cn1c(SCCCN2CC3CCN(c4ccccc4C(F)(F)F)C3C2)nnc1-c1cccnc1,A1052,Cn1c(SCCCN2CC3C(C2)N(CC3)c2ccccc2C(F)(F)F)nnc1c1cccnc1,1.0,1.0,1.0,1.0,1.0,1.0
COCC1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,A1053,COCC1CCCN1N1CCN(C1=O)c1cccc(c1)Cl,1.0,1.0,1.0,1.0,1.0,1.0
Cn1c(SCCCN2CC3CCN(c4ccc(F)cc4)C3C2)nnc1-c1cc[nH]c(=O)c1,A1054,Fc1ccc(cc1)N1CCC2C1CN(C2)CCCSc1nnc(n1C)c1cc[nH]c(=O)c1,1.0,1.0,1.0,1.0,1.0,1.0
O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc(F)c(Cl)c1,A1055,O=C1N(CCN1c1ccc(c(c1)Cl)F)CCN1Cc2c(C1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)c1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,A1056,O=C1N(CCN1c1cccc(c1)C(C)C)CCN1Cc2c(C1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
C#Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,A1057,C#Cc1ccc(cc1)COC(=O)N1CCC(CC1)CNc1ncccn1,1.0,1.0,1.0,1.0,1.0,1.0
C=CCOCC1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,A1059,C=CCOCC1CCC(CC1)N1CC(C1)NC(=O)CNc1nn(c2c1cc(cc2)C(F)(F)F)C,1.0,1.0,1.0,1.0,1.0,1.0
c1ccc(CN(c2cccc3[nH]ncc23)C2CCNCC2)cc1,A106,N1CCC(CC1)N(c1cccc2c1cn[nH]2)Cc1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc(-c2ccc3cc(CCN4CCCC4C)ccc3n2)c(C)n1,A1060,C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(c(n4)C)ccc4C,1.0,1.0,1.0,1.0,1.0,1.0
CC1CCCN1CCc1ccc2nc(-c3ccc(-n4ccc(=O)cc4)cc3)ccc2c1,A1061,C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(cc4)ccc4-n(cc5)ccc5=O,1.0,1.0,1.0,1.0,1.0,1.0
Cc1c(-c2ccc3cc(CCN4CCCC4C)ccc3n2)cnn1-c1ccccn1,A1062,C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)n(nc4)-c5ncccc5,1.0,1.0,1.0,1.0,1.0,1.0
Cc1cc(F)ccc1C=Cc1ccc(S(=O)(=O)c2ccccc2F)cn1,A1063,c1cccc(F)c1S(=O)(=O)c(cn2)ccc2/C=C/c(c(c3)C)ccc3F,1.0,1.0,1.0,1.0,1.0,1.0
CC(=O)NC(CCN1C2CCC1CC(n1c(C)nc3c1CCN(C(C)=O)C3)C2)c1cccc(F)c1,A1064,CC(=O)NC(c1cccc(c1)F)CCN1C2CCC1CC(C2)n1c(C)nc2c1CCN(C2)C(=O)C,1.0,1.0,1.0,1.0,1.0,1.0
CC(=O)NC(CCN1C2CCC1CC(n1c(C)nc3c1CCN(C(=O)C(C)(C)C)C3)C2)c1cccc(F)c1,A1065,CC(=O)NC(c1cccc(c1)F)CCN1C2CCC1CC(C2)n1c(C)nc2c1CCN(C2)C(=O)C(C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0
CC(=O)OCC(=O)NC1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,A1066,CC(=O)OCC(=O)NC4CCN(CCc3ccc(Oc2nc1ccccc1s2)cc3)CC4,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)Nc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,A1067,CC(Nc1nc(c2ccccc2Cl)c2c(n1)N(C(=O)NC2)c1c(Cl)cccc1Cl)C,1.0,1.0,1.0,1.0,1.0,1.0
CC1(c2nc(-c3ccccc3)c[nH]2)Cc2c([nH]c3ccccc23)C(C2CCOCC2)N1,A1068,CC1(NC(C2CCOCC2)c2c(C1)c1ccccc1[nH]2)c1[nH]cc(n1)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
CC1CCCN1CCc1ccc2ncccc2c1,A107,n1cccc(c12)cc(cc2)CCN3[C@H](C)CCC3,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nn(C)c(C)c1-c1nnc(CCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,A1070,Cc1nn(c(c1c1nnc(n1C)CCCCN1CC2[C@@](C1)(C2)c1ccc(cc1)C(F)(F)F)C)C,1.0,1.0,1.0,1.0,1.0,1.0
CC1CN(c2nc(-c3ccc(Cl)cc3Cl)c3c(n2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC(C)O1,A1071,CC1OC(C)CN(C1)c1nc(c2ccc(cc2Cl)Cl)c2c(n1)N(C(=O)NC2)c1c(Cl)cccc1Cl,1.0,1.0,1.0,1.0,1.0,1.0
CCC(=O)N1CCc2c(nc(C)n2C2CC3CCC(C2)N3CCC(NC(C)=O)c2cccc(F)c2)C1,A1072,CCC(=O)N1CCc2c(C1)nc(n2C1CC2CCC(C1)N2CCC(c1cccc(c1)F)NC(=O)C)C,1.0,1.0,1.0,1.0,1.0,1.0
CCc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,A1073,CCc1nc2ccccc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1,1.0,1.0,1.0,1.0,1.0,1.0
CCCCCC=CCC=CCCCCCCCC(N)=O,A1074,CCCCC/C=C\C/C=C\CCCCCCCC(=O)N,1.0,1.0,1.0,1.0,1.0,1.0
CCNC(=O)N1CCC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)CC2)C1,A1075,CCNC(=O)N1CCC2(C1)CCN(CC2)c1ccc(cn1)C(=O)Nc1cc(ccc1N)c1cccs1,1.0,1.0,1.0,1.0,1.0,1.0
CCOc1cc2nnc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1N1CCN(C)CC1,A1076,CCOc1cc2nnc(c(c2cc1N1CCN(CC1)C)Nc1cccc(c1Cl)Cl)C(=O)N,1.0,1.0,1.0,1.0,1.0,1.0
Clc1ccc(C23CNCC2C3)cc1Cl,A1077,Clc1ccc(cc1Cl)C12CNCC2C1,1.0,1.0,1.0,1.0,1.0,1.0
O=C1NCc2c(-c3ccccc3Cl)nc(N3CCOCC3)nc2N1c1c(Cl)cccc1Cl,A1078,Clc1cccc(c1N1C(=O)NCc2c1nc(nc2c1ccccc1Cl)N1CCOCC1)Cl,1.0,1.0,1.0,1.0,1.0,1.0
O=C(NCCN1CCCCC1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,A1079,Clc1cnc(c(c1)NS(=O)(=O)c1ccc(c(c1)C(F)(F)F)Cl)Oc1ccc(cc1)C(=O)NCCN1CCCCC1,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ncc(-c2ccnc(Nc3ccc(C(N)=O)c(F)c3)n2)n1C(C)C,A108,NC(=O)c1ccc(cc1F)Nc1nccc(n1)c1cnc(n1C(C)C)C,1.0,1.0,1.0,1.0,1.0,1.0
CN(C)C(=O)C1CCCN1Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(F)cc3)cc1)C2,A1080,CN(C)C(=O)[C@@H]1CCCN1Cc5ccc4C[C@@H](N(C)C(=O)c3ccc(c2ccc(F)cc2)cc3)CCc4c5,1.0,1.0,1.0,1.0,1.0,1.0
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,A1081,CN1CCC(CC1)Oc1cccc2c1c(ncn2)Nc1ccc(c(c1)Cl)OCc1ccccn1,1.0,1.0,1.0,1.0,1.0,1.0
Cn1ccc(-c2noc(C3=CC4(CCN(CC5CCCO5)CC4)c4ccccc43)n2)n1,A1082,Cn1ccc(n1)c1noc(n1)C1=CC2(c3c1cccc3)CCN(CC2)CC1CCCO1,1.0,1.0,1.0,1.0,1.0,1.0
COc1c(O)c(C(C)=O)c(OCc2ccc(Cl)cc2)c2ccoc12,A1083,COc1c(O)c(C(=O)C)c(c2c1occ2)OCc1ccc(cc1)Cl,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2N)cn1,A1084,COc1ccc(cn1)c1cc(cnc1N)c1ccc(cc1)S(=O)(=O)C,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc2c(c1)CC(CCN(C)C)=C2C(C)c1nccnc1OC,A1085,COc1ccc2c(c1)CC(=C2[C@H](c1nccnc1OC)C)CCN(C)C,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc2ncc(F)c(C(O)CN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1,A1086,COc1ccc2c(n1)c(C(CN1CCC(CC1)NCc1ncc3c(c1)OCCO3)O)c(cn2)F,1.0,1.0,1.0,1.0,1.0,1.0
COCCCc1cc(Br)cc(CN(C(=O)C2CNCCC2c2ccn(C)c(=O)c2)C2CC2)c1,A1087,COCCCc1cc(cc(c1)Br)CN(C(=O)C1CNCCC1c1ccn(c(=O)c1)C)C1CC1,1.0,1.0,1.0,1.0,1.0,1.0
COCCCc1cc(CN(C(=O)C2CNCCC2(O)c2ccccc2)C2CC2)cc(OCCOC)c1,A1088,COCCCc1cc(OCCOC)cc(c1)CN(C(=O)[C@H]1CNCC[C@@]1(O)c1ccccc1)C1CC1,1.0,1.0,1.0,1.0,1.0,1.0
COCCN1CCCC1Cn1nc(Cc2ccc(Cl)cc2)c2cccnc2c1=O,A1089,COCCN1CCC[C@H]1Cn1nc(Cc2ccc(cc2)Cl)c2c(c1=O)nccc2,1.0,1.0,1.0,1.0,1.0,1.0
Nc1ccc(-c2nnc(C3CCN(Cc4ccc(-c5nc6cc[nH]c(=O)c6cc5-c5ccccc5)cc4)CC3)[nH]2)cn1,A109,Nc1ccc(cn1)c1nnc([nH]1)C1CCN(CC1)Cc1ccc(cc1)c1nc2cc[nH]c(=O)c2cc1c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
CC1CN(C(=O)C2CN(C(C)(C)C)CC2c2ccc(F)cc2F)CC(C)C1(O)c1c(F)cccc1F,A1090,Fc1cc(F)c(cc1)[C@H]2CN(C(C)(C)C)C[C@@H]2C(=O)N(C[C@H]3C)C[C@H](C)[C@@]3(O)c4c(F)cccc4F,1.0,1.0,1.0,1.0,1.0,1.0
O=C(c1ccccn1)C12CC3C=NN(c4ccc(F)cc4)C3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2,A1091,Fc1ccc(cc1)N1N=C[C@H]2[C@@H]1C=C1CCN(C[C@@]1(C2)C(=O)c1ccccn1)S(=O)(=O)c1ccc(cc1)C(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
N#Cc1ccc2c(c1)CC(C(=O)NC1CCN(Cc3ccc4c(c3)OCO4)CC1)=CC2=O,A1093,N#Cc1ccc2c(c1)CC(=CC2=O)C(=O)NC1CCN(CC1)Cc1ccc2c(c1)OCO2,1.0,1.0,1.0,1.0,1.0,1.0
N#Cc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,A1094,N#Cc1ccc2c(c1)oc(cc2=O)C(=O)NC1CCN(CC1)Cc1ccc2c(c1)OCO2,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nnc(C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,A1096,O=C(C1CCC(CC1)(F)F)NC(c1ccccc1)CCN1C2CCC1CC(C2)n1c(C)nnc1C,1.0,1.0,1.0,1.0,1.0,1.0
O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)c(C(F)(F)F)c1)c1ccccc1F,A1097,O=C(c1ccccc1F)Nc1ccc(c(c1)C(F)(F)F)c1nnc(o1)NCCCN1CCCCC1,1.0,1.0,1.0,1.0,1.0,1.0
O=C1OCc2cc(CCC3C4CN(C(=O)Cc5ccc(-n6cnnn6)cc5)CC34)ccc21,A1098,O=C(N1C[C@H]2[C@H](C1)[C@@H]2CCc1ccc2c(c1)COC2=O)Cc1ccc(cc1)n1cnnn1,1.0,1.0,1.0,1.0,1.0,1.0
O=C(CN1CCCN(Cc2nc3ccccc3[nH]2)CC1)Nc1ccc(C(F)(F)F)cc1,A1099,O=C(Nc1ccc(cc1)C(F)(F)F)CN1CCCN(CC1)Cc1nc2c([nH]1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,A11,c12n(c(n(C)c(c1[nH]cn2)=O)=O)CC(C)C,1.0,1.0,1.0,1.0,1.0,1.0
Cc1cccc(C)c1OCC(C)[NH3+],A110,O(C[C@H]([NH3+])C)c1c(cccc1C)C,1.0,1.0,1.0,1.0,1.0,1.0
O=C(NCCN1CCC(O)(Cc2ccc(F)cc2)CC1)Nc1ccnc2ccsc12,A1100,O=C(Nc1ccnc2c1scc2)NCCN1CCC(CC1)(O)Cc1ccc(cc1)F,1.0,1.0,1.0,1.0,1.0,1.0
O=c1ccc2c(OCCCCc3ccccc3)c3ccoc3cc2o1,A1101,O=c1ccc2c(o1)cc1c(c2OCCCCc2ccccc2)cco1,1.0,1.0,1.0,1.0,1.0,1.0
CC(CC(CS(=O)(=O)N1CCC(OCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,A1102,O=CN(C(CS(=O)(=O)N1CCC(CC1)OCc1ccc(cc1Cl)Cl)CC(c1ncc(cn1)F)C)O,1.0,1.0,1.0,1.0,1.0,1.0
O=C(O)C(c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,A1103,OC(=O)C(c1ccccc1)N1CCC(CC1)N1CCC(CC1)Oc1ccc(c(c1)Cl)Cl,1.0,1.0,1.0,1.0,1.0,1.0
O=C(NC1CCCC(O)C1)c1noc(-c2ccc(C(F)(F)F)cc2)c1CNCC1CC1,A1104,OC1CCCC(C1)NC(=O)c1noc(c1CNCC1CC1)c1ccc(cc1)C(F)(F)F,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)(F)COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,A1105,CC(F)(C)COc(cc1)cc2c1Oc(c3[C@]24N=C(N)OC4)ccc(c3)-c5cncnc5,1.0,1.0,1.0,1.0,1.0,1.0
COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccccc2C(F)(F)F)CC1,A1106,COC(=O)C1(CCN(CC1)Cc1ccccc1C(F)(F)F)CNC(=O)c1cc(OC)cc(c1)OC,1.0,1.0,1.0,1.0,1.0,1.0
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(Cl)cnc56)(CC3)OC4)nc2N1,A1107,O=C1COc2c(N1)nc(cc2)CNC12CCC(CC1)(OC2)CCc1ccnc2c1ncc(c2)Cl,1.0,1.0,1.0,1.0,1.0,1.0
C[N+]CCCN1c2ccccc2CCc2ccccc21,A1108,[N+](C)CCCN1c2ccccc2CCc2ccccc12,1.0,1.0,1.0,1.0,1.0,1.0
CN1CC2CC(N(Cc3ccc(F)c(OC4CCCC4)c3)C(=O)c3cn(C)cn3)CC2C1,A1109,CN1CC2C(C1)CC(C2)N(C(=O)c1ncn(c1)C)Cc1ccc(c(c1)OC1CCCC1)F,1.0,1.0,1.0,1.0,1.0,1.0
CC(C)[NH2+]CC(O)COc1cccc2ccccc12,A111,O(C[C@H](O)C[NH2+]C(C)C)c1c2c(ccc1)cccc2,1.0,1.0,1.0,1.0,1.0,1.0
c1ccc(-c2[nH]c3ccccc3c2C2CCC[N+]C2)cc1,A1110,[nH]1c2ccccc2c(c1c1ccccc1)C1C[N+]CCC1,1.0,1.0,1.0,1.0,1.0,1.0
c1ccc(-c2[nH]c3ccccc3c2C2CCCNC2)cc1,A1111,C1CCC(CN1)c1c([nH]c2c1cccc2)c1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0
